BatchID,ProductionDate,ProductID,PlantID,WarehouseID,LineCode,PlannedCases,ProducedCases,GoodCases,RejectedCases,ScheduledMinutes,DowntimeMinutes,DowntimeReason,StandardCostPerCaseGBP,ActualConversionCostGBP
6319,2024-03-19,SKU056,PL04,WH04,L1,238,212,206,6,120,9,Mechanical,31.25,539.8
6320,2024-03-19,SKU059,PL04,WH04,L4,226,200,195,5,120,11,Mechanical,35.53,496.21
6321,2024-03-20,SKU001,PL01,WH01,L2,252,233,228,5,120,4,Material Wait,11.35,491.83
6322,2024-03-20,SKU004,PL01,WH01,L1,239,216,209,7,120,5,Cleaning,15.62,446.47
6323,2024-03-20,SKU007,PL01,WH01,L4,234,192,189,3,120,17,Mechanical,19.9,382.82
6324,2024-03-20,SKU010,PL01,WH01,L3,234,218,214,4,120,8,Mechanical,24.18,496.3
6325,2024-03-20,SKU013,PL01,WH01,L2,218,206,201,5,120,4,Material Wait,13.83,391.87
6326,2024-03-20,SKU016,PL01,WH01,L1,227,189,182,7,120,16,Material Wait,18.1,399.99
6327,2024-03-20,SKU019,PL01,WH01,L4,210,174,170,4,120,18,Cleaning,22.38,332.19
6328,2024-03-20,SKU022,PL01,WH01,L3,250,236,228,8,120,8,Material Wait,26.66,610.0
6329,2024-03-20,SKU025,PL01,WH01,L2,232,227,220,7,120,0,None,16.31,471.83
6330,2024-03-20,SKU028,PL01,WH01,L1,213,187,184,3,120,9,Changeover,20.58,420.84
6331,2024-03-20,SKU031,PL01,WH01,L4,228,191,186,5,120,14,Changeover,24.86,482.14
6332,2024-03-20,SKU034,PL01,WH01,L3,248,240,232,8,120,3,Changeover,29.14,517.37
6333,2024-03-20,SKU037,PL01,WH01,L2,207,175,172,3,120,14,Cleaning,18.79,452.34
6334,2024-03-20,SKU040,PL01,WH01,L1,248,222,218,4,120,12,Mechanical,23.06,489.04
6335,2024-03-20,SKU043,PL01,WH01,L4,241,231,223,8,120,5,Cleaning,27.34,469.69
6336,2024-03-20,SKU046,PL01,WH01,L3,253,218,211,7,120,18,Changeover,31.62,504.28
6337,2024-03-20,SKU049,PL01,WH01,L2,251,228,224,4,120,12,Material Wait,21.27,418.18
6338,2024-03-20,SKU052,PL01,WH01,L1,246,209,202,7,120,16,Mechanical,25.54,430.85
6339,2024-03-20,SKU055,PL01,WH01,L4,253,229,223,6,120,5,Material Wait,29.82,482.0
6340,2024-03-20,SKU058,PL01,WH01,L3,253,239,232,7,120,7,Changeover,34.1,464.0
6341,2024-03-20,SKU003,PL02,WH02,L4,208,176,171,5,120,13,Cleaning,14.2,329.42
6342,2024-03-20,SKU006,PL02,WH02,L3,242,207,199,8,120,14,Material Wait,18.48,462.47
6343,2024-03-20,SKU009,PL02,WH02,L2,240,208,204,4,120,13,Mechanical,22.75,387.16
6344,2024-03-20,SKU012,PL02,WH02,L1,218,204,197,7,120,6,Mechanical,9.92,501.17
6345,2024-03-20,SKU015,PL02,WH02,L4,207,189,185,4,120,7,Changeover,16.68,424.87
6346,2024-03-20,SKU018,PL02,WH02,L3,240,217,211,6,120,10,Material Wait,20.96,551.38
6347,2024-03-20,SKU021,PL02,WH02,L2,201,177,175,2,120,15,Mechanical,25.23,438.75
6348,2024-03-20,SKU024,PL02,WH02,L1,205,203,199,4,120,1,Changeover,12.4,407.13
6349,2024-03-20,SKU027,PL02,WH02,L4,253,216,210,6,120,11,Mechanical,19.16,527.36
6350,2024-03-20,SKU030,PL02,WH02,L3,213,190,187,3,120,14,Changeover,23.44,430.66
6351,2024-03-20,SKU033,PL02,WH02,L2,220,188,185,3,120,12,Changeover,27.71,486.6
6352,2024-03-20,SKU036,PL02,WH02,L1,248,240,237,3,120,3,Mechanical,14.88,448.55
6353,2024-03-20,SKU039,PL02,WH02,L4,254,206,200,6,120,17,Cleaning,21.64,417.03
6354,2024-03-20,SKU042,PL02,WH02,L3,256,259,251,8,120,0,None,25.92,522.68
6355,2024-03-20,SKU045,PL02,WH02,L2,243,212,207,5,120,11,Cleaning,30.19,449.27
6356,2024-03-20,SKU048,PL02,WH02,L1,228,201,195,6,120,8,Mechanical,17.36,434.74
6357,2024-03-20,SKU051,PL02,WH02,L4,230,210,205,5,120,9,Cleaning,24.12,417.05
6358,2024-03-20,SKU054,PL02,WH02,L3,230,223,220,3,120,5,Changeover,28.4,481.09
6359,2024-03-20,SKU057,PL02,WH02,L2,202,174,168,6,120,18,Changeover,32.67,353.58
6360,2024-03-20,SKU060,PL02,WH02,L1,249,234,225,9,120,7,Cleaning,19.84,581.84
6361,2024-03-20,SKU002,PL03,WH03,L3,235,196,189,7,120,15,Cleaning,12.77,445.61
6362,2024-03-20,SKU005,PL03,WH03,L2,237,191,187,4,120,17,Changeover,17.05,378.2
6363,2024-03-20,SKU008,PL03,WH03,L1,244,231,227,4,120,2,Cleaning,21.33,420.16
6364,2024-03-20,SKU011,PL03,WH03,L4,205,180,176,4,120,10,Changeover,25.61,433.82
6365,2024-03-20,SKU014,PL03,WH03,L3,256,232,225,7,120,10,Mechanical,15.25,575.56
6366,2024-03-20,SKU017,PL03,WH03,L2,244,230,224,6,120,2,Changeover,19.53,456.51
6367,2024-03-20,SKU020,PL03,WH03,L1,210,190,187,3,120,6,Changeover,23.81,349.64
6368,2024-03-20,SKU023,PL03,WH03,L4,254,248,239,9,120,1,Changeover,28.09,617.55
6369,2024-03-20,SKU026,PL03,WH03,L3,244,237,232,5,120,1,Material Wait,17.73,509.69
6370,2024-03-20,SKU029,PL03,WH03,L2,233,197,194,3,120,15,Material Wait,22.01,507.91
6371,2024-03-20,SKU032,PL03,WH03,L1,236,201,198,3,120,16,Changeover,26.29,475.6
6372,2024-03-20,SKU035,PL03,WH03,L4,234,201,198,3,120,11,Changeover,30.57,378.67
6373,2024-03-20,SKU038,PL03,WH03,L3,220,183,177,6,120,16,Cleaning,20.21,364.65
6374,2024-03-20,SKU041,PL03,WH03,L2,249,213,208,5,120,13,Material Wait,24.49,410.77
6375,2024-03-20,SKU044,PL03,WH03,L1,247,222,218,4,120,8,Cleaning,28.77,477.06
6376,2024-03-20,SKU047,PL03,WH03,L4,228,211,207,4,120,5,Mechanical,33.05,381.45
6377,2024-03-20,SKU050,PL03,WH03,L3,246,218,212,6,120,15,Mechanical,22.69,487.31
6378,2024-03-20,SKU053,PL03,WH03,L2,260,249,242,7,120,7,Cleaning,26.97,587.2
6379,2024-03-20,SKU056,PL03,WH03,L1,260,221,214,7,120,16,Mechanical,31.25,463.91
6380,2024-03-20,SKU059,PL03,WH03,L4,244,228,224,4,120,3,Mechanical,35.53,497.84
6381,2024-03-20,SKU001,PL04,WH04,L2,257,220,217,3,120,18,Mechanical,11.35,427.29
6382,2024-03-20,SKU004,PL04,WH04,L1,253,233,227,6,120,3,Changeover,15.62,458.0
6383,2024-03-20,SKU007,PL04,WH04,L4,213,199,194,5,120,8,Material Wait,19.9,434.18
6384,2024-03-20,SKU010,PL04,WH04,L3,221,180,174,6,120,18,Cleaning,24.18,441.96
6385,2024-03-20,SKU013,PL04,WH04,L2,214,191,184,7,120,8,Mechanical,13.83,407.15
6386,2024-03-20,SKU016,PL04,WH04,L1,244,229,222,7,120,6,Changeover,18.1,458.64
6387,2024-03-20,SKU019,PL04,WH04,L4,247,221,213,8,120,12,Cleaning,22.38,427.29
6388,2024-03-20,SKU022,PL04,WH04,L3,246,227,221,6,120,11,Material Wait,26.66,467.28
6389,2024-03-20,SKU025,PL04,WH04,L2,251,250,243,7,120,2,Cleaning,16.31,621.85
6390,2024-03-20,SKU028,PL04,WH04,L1,248,234,228,6,120,7,Mechanical,20.58,478.14
6391,2024-03-20,SKU031,PL04,WH04,L4,221,178,176,2,120,18,Changeover,24.86,405.96
6392,2024-03-20,SKU034,PL04,WH04,L3,239,229,225,4,120,1,Cleaning,29.14,435.36
6393,2024-03-20,SKU037,PL04,WH04,L2,207,187,181,6,120,6,Material Wait,18.79,467.07
6394,2024-03-20,SKU040,PL04,WH04,L1,231,220,215,5,120,3,Changeover,23.06,428.82
6395,2024-03-20,SKU043,PL04,WH04,L4,247,217,212,5,120,15,Cleaning,27.34,442.61
6396,2024-03-20,SKU046,PL04,WH04,L3,245,237,230,7,120,2,Material Wait,31.62,469.42
6397,2024-03-20,SKU049,PL04,WH04,L2,259,220,213,7,120,15,Mechanical,21.27,526.88
6398,2024-03-20,SKU052,PL04,WH04,L1,239,222,215,7,120,9,Mechanical,25.54,418.93
6399,2024-03-20,SKU055,PL04,WH04,L4,227,184,181,3,120,18,Changeover,29.82,352.36
6400,2024-03-20,SKU058,PL04,WH04,L3,231,207,203,4,120,14,Material Wait,34.1,504.51
6401,2024-03-21,SKU003,PL01,WH01,L4,253,221,216,5,120,12,Mechanical,14.2,465.94
6402,2024-03-21,SKU006,PL01,WH01,L3,205,172,166,6,120,18,Mechanical,18.48,398.94
6403,2024-03-21,SKU009,PL01,WH01,L2,237,213,210,3,120,5,Cleaning,22.75,532.67
6404,2024-03-21,SKU012,PL01,WH01,L1,239,205,201,4,120,17,Cleaning,9.92,496.9
6405,2024-03-21,SKU015,PL01,WH01,L4,233,196,189,7,120,16,Mechanical,16.68,392.01
6406,2024-03-21,SKU018,PL01,WH01,L3,235,221,213,8,120,2,Mechanical,20.96,570.43
6407,2024-03-21,SKU021,PL01,WH01,L2,229,207,200,7,120,8,Material Wait,25.23,471.64
6408,2024-03-21,SKU024,PL01,WH01,L1,232,194,187,7,120,17,Mechanical,12.4,378.4
6409,2024-03-21,SKU027,PL01,WH01,L4,213,211,205,6,120,3,Mechanical,19.16,532.24
6410,2024-03-21,SKU030,PL01,WH01,L3,252,230,224,6,120,4,Cleaning,23.44,475.21
6411,2024-03-21,SKU033,PL01,WH01,L2,246,203,199,4,120,15,Mechanical,27.71,478.96
6412,2024-03-21,SKU036,PL01,WH01,L1,256,231,225,6,120,7,Mechanical,14.88,556.61
6413,2024-03-21,SKU039,PL01,WH01,L4,238,226,222,4,120,8,Cleaning,21.64,587.34
6414,2024-03-21,SKU042,PL01,WH01,L3,246,243,234,9,120,0,None,25.92,485.86
6415,2024-03-21,SKU045,PL01,WH01,L2,235,203,195,8,120,14,Cleaning,30.19,451.55
6416,2024-03-21,SKU048,PL01,WH01,L1,225,205,202,3,120,5,Changeover,17.36,508.68
6417,2024-03-21,SKU051,PL01,WH01,L4,226,195,192,3,120,15,Cleaning,24.12,422.59
6418,2024-03-21,SKU054,PL01,WH01,L3,253,224,216,8,120,14,Changeover,28.4,417.22
6419,2024-03-21,SKU057,PL01,WH01,L2,218,194,190,4,120,9,Cleaning,32.67,504.27
6420,2024-03-21,SKU060,PL01,WH01,L1,228,201,198,3,120,15,Cleaning,19.84,504.09
6421,2024-03-21,SKU002,PL02,WH02,L3,220,209,205,4,120,4,Changeover,12.77,447.56
6422,2024-03-21,SKU005,PL02,WH02,L2,241,209,202,7,120,11,Mechanical,17.05,484.58
6423,2024-03-21,SKU008,PL02,WH02,L1,233,196,190,6,120,16,Cleaning,21.33,489.78
6424,2024-03-21,SKU011,PL02,WH02,L4,252,222,215,7,120,12,Cleaning,25.61,420.36
6425,2024-03-21,SKU014,PL02,WH02,L3,226,200,195,5,120,8,Material Wait,15.25,365.15
6426,2024-03-21,SKU017,PL02,WH02,L2,235,229,222,7,120,3,Cleaning,19.53,463.52
6427,2024-03-21,SKU020,PL02,WH02,L1,259,210,203,7,120,17,Changeover,23.81,449.08
6428,2024-03-21,SKU023,PL02,WH02,L4,215,195,189,6,120,5,Material Wait,28.09,362.79
6429,2024-03-21,SKU026,PL02,WH02,L3,208,179,173,6,120,16,Changeover,17.73,393.27
6430,2024-03-21,SKU029,PL02,WH02,L2,258,243,235,8,120,3,Mechanical,22.01,519.7
6431,2024-03-21,SKU032,PL02,WH02,L1,207,181,175,6,120,9,Cleaning,26.29,339.78
6432,2024-03-21,SKU035,PL02,WH02,L4,245,220,212,8,120,7,Mechanical,30.57,506.37
6433,2024-03-21,SKU038,PL02,WH02,L3,231,221,217,4,120,4,Mechanical,20.21,549.97
6434,2024-03-21,SKU041,PL02,WH02,L2,256,235,230,5,120,6,Cleaning,24.49,587.27
6435,2024-03-21,SKU044,PL02,WH02,L1,225,186,183,3,120,17,Changeover,28.77,350.44
6436,2024-03-21,SKU047,PL02,WH02,L4,223,207,201,6,120,2,Changeover,33.05,420.59
6437,2024-03-21,SKU050,PL02,WH02,L3,238,229,223,6,120,2,Cleaning,22.69,529.04
6438,2024-03-21,SKU053,PL02,WH02,L2,246,226,218,8,120,3,Cleaning,26.97,539.25
6439,2024-03-21,SKU056,PL02,WH02,L1,260,246,242,4,120,5,Material Wait,31.25,541.9
6440,2024-03-21,SKU059,PL02,WH02,L4,239,217,212,5,120,8,Material Wait,35.53,563.17
6441,2024-03-21,SKU001,PL03,WH03,L2,237,223,216,7,120,7,Material Wait,11.35,544.26
6442,2024-03-21,SKU004,PL03,WH03,L1,223,199,194,5,120,8,Cleaning,15.62,424.34
6443,2024-03-21,SKU007,PL03,WH03,L4,209,203,196,7,120,1,Material Wait,19.9,369.15
6444,2024-03-21,SKU010,PL03,WH03,L3,211,183,179,4,120,12,Material Wait,24.18,335.82
6445,2024-03-21,SKU013,PL03,WH03,L2,242,231,226,5,120,6,Material Wait,13.83,469.44
6446,2024-03-21,SKU016,PL03,WH03,L1,225,212,207,5,120,6,Mechanical,18.1,543.67
6447,2024-03-21,SKU019,PL03,WH03,L4,241,212,207,5,120,10,Cleaning,22.38,482.5
6448,2024-03-21,SKU022,PL03,WH03,L3,204,182,178,4,120,10,Cleaning,26.66,381.74
6449,2024-03-21,SKU025,PL03,WH03,L2,217,185,180,5,120,11,Cleaning,16.31,416.58
6450,2024-03-21,SKU028,PL03,WH03,L1,257,250,241,9,120,5,Changeover,20.58,631.45
6451,2024-03-21,SKU031,PL03,WH03,L4,206,179,176,3,120,15,Material Wait,24.86,342.88
6452,2024-03-21,SKU034,PL03,WH03,L3,219,208,203,5,120,2,Mechanical,29.14,531.77
6453,2024-03-21,SKU037,PL03,WH03,L2,250,220,215,5,120,15,Material Wait,18.79,553.04
6454,2024-03-21,SKU040,PL03,WH03,L1,238,206,198,8,120,13,Mechanical,23.06,481.61
6455,2024-03-21,SKU043,PL03,WH03,L4,209,175,170,5,120,14,Changeover,27.34,407.35
6456,2024-03-21,SKU046,PL03,WH03,L3,210,199,193,6,120,6,Mechanical,31.62,360.61
6457,2024-03-21,SKU049,PL03,WH03,L2,228,213,207,6,120,7,Mechanical,21.27,422.28
6458,2024-03-21,SKU052,PL03,WH03,L1,230,201,198,3,120,15,Cleaning,25.54,519.6
6459,2024-03-21,SKU055,PL03,WH03,L4,201,196,192,4,120,1,Cleaning,29.82,423.25
6460,2024-03-21,SKU058,PL03,WH03,L3,256,224,221,3,120,17,Changeover,34.1,533.59
6461,2024-03-21,SKU003,PL04,WH04,L4,240,238,229,9,120,3,Material Wait,14.2,576.36
6462,2024-03-21,SKU006,PL04,WH04,L3,207,203,196,7,120,3,Material Wait,18.48,427.21
6463,2024-03-21,SKU009,PL04,WH04,L2,217,185,179,6,120,15,Material Wait,22.75,421.72
6464,2024-03-21,SKU012,PL04,WH04,L1,245,228,222,6,120,5,Changeover,9.92,431.07
6465,2024-03-21,SKU015,PL04,WH04,L4,221,214,207,7,120,3,Mechanical,16.68,405.83
6466,2024-03-21,SKU018,PL04,WH04,L3,206,202,196,6,120,2,Changeover,20.96,512.37
6467,2024-03-21,SKU021,PL04,WH04,L2,230,202,199,3,120,8,Changeover,25.23,399.02
6468,2024-03-21,SKU024,PL04,WH04,L1,211,215,207,8,120,0,None,12.4,413.25
6469,2024-03-21,SKU027,PL04,WH04,L4,223,210,207,3,120,7,Material Wait,19.16,467.08
6470,2024-03-21,SKU030,PL04,WH04,L3,237,226,219,7,120,0,None,23.44,500.02
6471,2024-03-21,SKU033,PL04,WH04,L2,220,186,179,7,120,14,Material Wait,27.71,383.64
6472,2024-03-21,SKU036,PL04,WH04,L1,246,222,217,5,120,11,Changeover,14.88,508.04
6473,2024-03-21,SKU039,PL04,WH04,L4,244,217,212,5,120,11,Changeover,21.64,403.31
6474,2024-03-21,SKU042,PL04,WH04,L3,246,231,228,3,120,2,Mechanical,25.92,418.1
6475,2024-03-21,SKU045,PL04,WH04,L2,252,217,211,6,120,12,Mechanical,30.19,521.54
6476,2024-03-21,SKU048,PL04,WH04,L1,226,188,185,3,120,14,Cleaning,17.36,478.08
6477,2024-03-21,SKU051,PL04,WH04,L4,209,192,186,6,120,8,Changeover,24.12,362.65
6478,2024-03-21,SKU054,PL04,WH04,L3,203,173,169,4,120,18,Mechanical,28.4,347.33
6479,2024-03-21,SKU057,PL04,WH04,L2,214,181,178,3,120,16,Material Wait,32.67,463.48
6480,2024-03-21,SKU060,PL04,WH04,L1,230,222,218,4,120,5,Material Wait,19.84,454.35
6481,2024-03-22,SKU002,PL01,WH01,L3,240,225,220,5,120,7,Material Wait,12.77,549.76
6482,2024-03-22,SKU005,PL01,WH01,L2,206,175,173,2,120,13,Cleaning,17.05,405.88
6483,2024-03-22,SKU008,PL01,WH01,L1,222,202,198,4,120,8,Changeover,21.33,522.64
6484,2024-03-22,SKU011,PL01,WH01,L4,229,204,197,7,120,13,Material Wait,25.61,380.49
6485,2024-03-22,SKU014,PL01,WH01,L3,258,244,236,8,120,0,None,15.25,580.69
6486,2024-03-22,SKU017,PL01,WH01,L2,250,234,228,6,120,6,Mechanical,19.53,538.48
6487,2024-03-22,SKU020,PL01,WH01,L1,204,175,169,6,120,11,Mechanical,23.81,440.06
6488,2024-03-22,SKU023,PL01,WH01,L4,254,228,221,7,120,10,Mechanical,28.09,439.84
6489,2024-03-22,SKU026,PL01,WH01,L3,235,201,194,7,120,11,Material Wait,17.73,427.19
6490,2024-03-22,SKU029,PL01,WH01,L2,211,197,192,5,120,1,Cleaning,22.01,460.64
6491,2024-03-22,SKU032,PL01,WH01,L1,210,192,187,5,120,12,Material Wait,26.29,430.82
6492,2024-03-22,SKU035,PL01,WH01,L4,230,215,210,5,120,9,Changeover,30.57,504.57
6493,2024-03-22,SKU038,PL01,WH01,L3,225,210,205,5,120,9,Mechanical,20.21,494.19
6494,2024-03-22,SKU041,PL01,WH01,L2,248,248,244,4,120,2,Material Wait,24.49,511.77
6495,2024-03-22,SKU044,PL01,WH01,L1,204,180,175,5,120,9,Cleaning,28.77,335.43
6496,2024-03-22,SKU047,PL01,WH01,L4,231,208,204,4,120,11,Changeover,33.05,523.81
6497,2024-03-22,SKU050,PL01,WH01,L3,259,256,253,3,120,3,Changeover,22.69,530.57
6498,2024-03-22,SKU053,PL01,WH01,L2,202,175,173,2,120,17,Mechanical,26.97,337.19
6499,2024-03-22,SKU056,PL01,WH01,L1,242,230,224,6,120,7,Changeover,31.25,436.68
6500,2024-03-22,SKU059,PL01,WH01,L4,234,220,213,7,120,0,None,35.53,433.32
6501,2024-03-22,SKU001,PL02,WH02,L2,203,187,183,4,120,9,Mechanical,11.35,460.53
6502,2024-03-22,SKU004,PL02,WH02,L1,247,230,223,7,120,10,Cleaning,15.62,494.6
6503,2024-03-22,SKU007,PL02,WH02,L4,235,195,188,7,120,16,Cleaning,19.9,426.78
6504,2024-03-22,SKU010,PL02,WH02,L3,241,239,233,6,120,0,None,24.18,573.12
6505,2024-03-22,SKU013,PL02,WH02,L2,221,180,178,2,120,17,Material Wait,13.83,336.03
6506,2024-03-22,SKU016,PL02,WH02,L1,219,206,200,6,120,5,Changeover,18.1,453.52
6507,2024-03-22,SKU019,PL02,WH02,L4,211,177,174,3,120,14,Changeover,22.38,387.47
6508,2024-03-22,SKU022,PL02,WH02,L3,257,249,241,8,120,0,None,26.66,647.32
6509,2024-03-22,SKU025,PL02,WH02,L2,257,227,224,3,120,9,Mechanical,16.31,530.06
6510,2024-03-22,SKU028,PL02,WH02,L1,206,195,189,6,120,8,Mechanical,20.58,449.3
6511,2024-03-22,SKU031,PL02,WH02,L4,242,232,226,6,120,4,Material Wait,24.86,425.37
6512,2024-03-22,SKU034,PL02,WH02,L3,208,181,175,6,120,14,Mechanical,29.14,333.24
6513,2024-03-22,SKU037,PL02,WH02,L2,212,186,182,4,120,14,Changeover,18.79,480.94
6514,2024-03-22,SKU040,PL02,WH02,L1,233,205,200,5,120,14,Cleaning,23.06,377.23
6515,2024-03-22,SKU043,PL02,WH02,L4,234,218,215,3,120,8,Material Wait,27.34,480.43
6516,2024-03-22,SKU046,PL02,WH02,L3,218,212,207,5,120,2,Cleaning,31.62,529.57
6517,2024-03-22,SKU049,PL02,WH02,L2,232,205,202,3,120,13,Mechanical,21.27,390.81
6518,2024-03-22,SKU052,PL02,WH02,L1,217,207,200,7,120,6,Mechanical,25.54,535.74
6519,2024-03-22,SKU055,PL02,WH02,L4,255,236,230,6,120,4,Changeover,29.82,539.88
6520,2024-03-22,SKU058,PL02,WH02,L3,229,195,189,6,120,15,Cleaning,34.1,430.95
6521,2024-03-22,SKU003,PL03,WH03,L4,236,226,218,8,120,0,None,14.2,432.41
6522,2024-03-22,SKU006,PL03,WH03,L3,221,206,202,4,120,4,Changeover,18.48,449.74
6523,2024-03-22,SKU009,PL03,WH03,L2,237,221,214,7,120,2,Material Wait,22.75,447.69
6524,2024-03-22,SKU012,PL03,WH03,L1,205,193,191,2,120,2,Material Wait,9.92,499.44
6525,2024-03-22,SKU015,PL03,WH03,L4,253,216,212,4,120,17,Material Wait,16.68,505.61
6526,2024-03-22,SKU018,PL03,WH03,L3,218,195,191,4,120,10,Cleaning,20.96,385.82
6527,2024-03-22,SKU021,PL03,WH03,L2,248,235,230,5,120,0,None,25.23,561.15
6528,2024-03-22,SKU024,PL03,WH03,L1,222,185,180,5,120,14,Mechanical,12.4,399.53
6529,2024-03-22,SKU027,PL03,WH03,L4,232,226,220,6,120,1,Cleaning,19.16,536.86
6530,2024-03-22,SKU030,PL03,WH03,L3,230,208,203,5,120,9,Changeover,23.44,428.67
6531,2024-03-22,SKU033,PL03,WH03,L2,212,184,178,6,120,9,Material Wait,27.71,436.19
6532,2024-03-22,SKU036,PL03,WH03,L1,248,220,217,3,120,15,Cleaning,14.88,486.02
6533,2024-03-22,SKU039,PL03,WH03,L4,245,232,226,6,120,3,Mechanical,21.64,587.75
6534,2024-03-22,SKU042,PL03,WH03,L3,221,204,201,3,120,11,Changeover,25.92,478.77
6535,2024-03-22,SKU045,PL03,WH03,L2,214,197,194,3,120,6,Cleaning,30.19,385.41
6536,2024-03-22,SKU048,PL03,WH03,L1,231,219,211,8,120,2,Cleaning,17.36,487.43
6537,2024-03-22,SKU051,PL03,WH03,L4,241,219,213,6,120,5,Changeover,24.12,556.37
6538,2024-03-22,SKU054,PL03,WH03,L3,239,205,197,8,120,15,Changeover,28.4,497.62
6539,2024-03-22,SKU057,PL03,WH03,L2,209,180,174,6,120,16,Cleaning,32.67,337.53
6540,2024-03-22,SKU060,PL03,WH03,L1,212,188,185,3,120,9,Mechanical,19.84,340.53
6541,2024-03-22,SKU002,PL04,WH04,L3,204,171,166,5,120,14,Mechanical,12.77,352.38
6542,2024-03-22,SKU005,PL04,WH04,L2,249,207,203,4,120,15,Changeover,17.05,487.96
6543,2024-03-22,SKU008,PL04,WH04,L1,213,173,167,6,120,18,Material Wait,21.33,398.72
6544,2024-03-22,SKU011,PL04,WH04,L4,248,227,220,7,120,6,Material Wait,25.61,500.92
6545,2024-03-22,SKU014,PL04,WH04,L3,218,187,181,6,120,13,Mechanical,15.25,395.56
6546,2024-03-22,SKU017,PL04,WH04,L2,246,227,224,3,120,6,Changeover,19.53,500.09
6547,2024-03-22,SKU020,PL04,WH04,L1,230,199,195,4,120,15,Material Wait,23.81,405.52
6548,2024-03-22,SKU023,PL04,WH04,L4,242,235,228,7,120,4,Material Wait,28.09,545.57
6549,2024-03-22,SKU026,PL04,WH04,L3,249,211,204,7,120,14,Changeover,17.73,523.31
6550,2024-03-22,SKU029,PL04,WH04,L2,218,180,174,6,120,15,Mechanical,22.01,443.66
6551,2024-03-22,SKU032,PL04,WH04,L1,208,194,191,3,120,9,Cleaning,26.29,398.6
6552,2024-03-22,SKU035,PL04,WH04,L4,226,212,206,6,120,6,Changeover,30.57,491.3
6553,2024-03-22,SKU038,PL04,WH04,L3,225,213,208,5,120,3,Mechanical,20.21,492.26
6554,2024-03-22,SKU041,PL04,WH04,L2,210,206,199,7,120,0,None,24.49,503.19
6555,2024-03-22,SKU044,PL04,WH04,L1,208,200,195,5,120,0,None,28.77,418.27
6556,2024-03-22,SKU047,PL04,WH04,L4,239,198,193,5,120,15,Changeover,33.05,456.86
6557,2024-03-22,SKU050,PL04,WH04,L3,206,197,190,7,120,5,Material Wait,22.69,465.08
6558,2024-03-22,SKU053,PL04,WH04,L2,229,216,213,3,120,5,Changeover,26.97,419.02
6559,2024-03-22,SKU056,PL04,WH04,L1,222,199,194,5,120,13,Material Wait,31.25,447.96
6560,2024-03-22,SKU059,PL04,WH04,L4,216,181,175,6,120,16,Changeover,35.53,377.56
6561,2024-03-23,SKU001,PL01,WH01,L2,226,197,193,4,120,14,Changeover,11.35,469.08
6562,2024-03-23,SKU004,PL01,WH01,L1,224,217,213,4,120,1,Changeover,15.62,558.33
6563,2024-03-23,SKU007,PL01,WH01,L4,205,181,177,4,120,11,Material Wait,19.9,469.99
6564,2024-03-23,SKU010,PL01,WH01,L3,229,213,210,3,120,9,Changeover,24.18,396.22
6565,2024-03-23,SKU013,PL01,WH01,L2,203,180,176,4,120,10,Material Wait,13.83,344.41
6566,2024-03-23,SKU016,PL01,WH01,L1,211,200,193,7,120,2,Changeover,18.1,410.17
6567,2024-03-23,SKU019,PL01,WH01,L4,211,207,203,4,120,1,Material Wait,22.38,447.41
6568,2024-03-23,SKU022,PL01,WH01,L3,242,219,215,4,120,6,Cleaning,26.66,470.84
6569,2024-03-23,SKU025,PL01,WH01,L2,259,218,210,8,120,13,Changeover,16.31,529.67
6570,2024-03-23,SKU028,PL01,WH01,L1,203,186,182,4,120,4,Changeover,20.58,448.67
6571,2024-03-23,SKU031,PL01,WH01,L4,233,210,206,4,120,8,Changeover,24.86,517.16
6572,2024-03-23,SKU034,PL01,WH01,L3,212,184,181,3,120,15,Cleaning,29.14,438.8
6573,2024-03-23,SKU037,PL01,WH01,L2,238,210,204,6,120,11,Cleaning,18.79,491.27
6574,2024-03-23,SKU040,PL01,WH01,L1,217,176,172,4,120,17,Cleaning,23.06,456.48
6575,2024-03-23,SKU043,PL01,WH01,L4,253,238,229,9,120,6,Changeover,27.34,497.95
6576,2024-03-23,SKU046,PL01,WH01,L3,208,176,173,3,120,17,Cleaning,31.62,349.17
6577,2024-03-23,SKU049,PL01,WH01,L2,249,234,229,5,120,3,Material Wait,21.27,544.44
6578,2024-03-23,SKU052,PL01,WH01,L1,253,245,240,5,120,0,None,25.54,486.29
6579,2024-03-23,SKU055,PL01,WH01,L4,211,174,168,6,120,17,Cleaning,29.82,435.19
6580,2024-03-23,SKU058,PL01,WH01,L3,221,189,184,5,120,13,Mechanical,34.1,358.24
6581,2024-03-23,SKU003,PL02,WH02,L4,200,181,178,3,120,10,Mechanical,14.2,407.93
6582,2024-03-23,SKU006,PL02,WH02,L3,241,198,194,4,120,15,Mechanical,18.48,420.21
6583,2024-03-23,SKU009,PL02,WH02,L2,256,221,216,5,120,14,Changeover,22.75,525.83
6584,2024-03-23,SKU012,PL02,WH02,L1,240,233,228,5,120,4,Material Wait,9.92,494.99
6585,2024-03-23,SKU015,PL02,WH02,L4,233,208,203,5,120,13,Mechanical,16.68,484.99
6586,2024-03-23,SKU018,PL02,WH02,L3,254,251,246,5,120,3,Mechanical,20.96,539.17
6587,2024-03-23,SKU021,PL02,WH02,L2,238,228,222,6,120,6,Changeover,25.23,498.24
